repo_url,filepath,Creation Date,PR Comment,PR/Issue Number
github.com/nedap/deidentify,deidentify/tokenizer/tokenizer_de.py,2021-08-06T13:35:44Z,"Hi @bbieniek, thanks for adding this. The changes look good to me.

I noticed that the CI is failing. It seems to be a false-positive of pylint. I will try to address this issue as soon as possible and afterwards merge the PR.",60
github.com/nedap/deidentify,deidentify/tokenizer/tokenizer_de.py,2021-08-06T13:41:23Z,"Yes, I saw the CI error as well.
It looks like pylint in requirements-dev.txt is not constrained to a specific version.
Perhaps new rules were added in the latest version.

Thanks for addressing the issue :)",60
github.com/capreolus-ir/capreolus,capreolus/utils/common.py,2021-12-03T23:19:37Z,"This pull request **introduces 3 alerts** when merging 4b9e2247754e1b548d425b4c867d6dcd1d69f735 into e10928f5fa87ef2ac9eaabe28f1f2dc0e142b0de - [view on LGTM.com](https://lgtm.com/projects/g/capreolus-ir/capreolus/rev/pr-fade68b466dceeaf4924f6dacaf82b922827ca82)

**new alerts:**

* 1 for Unused local variable
* 1 for Unused import
* 1 for Variable defined multiple times",199
github.com/capreolus-ir/capreolus,capreolus/utils/common.py,2022-01-05T22:38:07Z,"This pull request **introduces 3 alerts** when merging bac04a02d67203a305c2fc0d623f751fb8dc7063 into e10928f5fa87ef2ac9eaabe28f1f2dc0e142b0de - [view on LGTM.com](https://lgtm.com/projects/g/capreolus-ir/capreolus/rev/pr-be1f6985507407df1576477646f5a41c1b7e8414)

**new alerts:**

* 1 for Unused local variable
* 1 for Unused import
* 1 for Variable defined multiple times",199
github.com/capreolus-ir/capreolus,capreolus/utils/common.py,2022-01-09T22:55:27Z,"This pull request **introduces 2 alerts** when merging 3e0c979af32603e65ebdc85201cbf983fe852873 into e10928f5fa87ef2ac9eaabe28f1f2dc0e142b0de - [view on LGTM.com](https://lgtm.com/projects/g/capreolus-ir/capreolus/rev/pr-890ac6c2d1f5da94b45a2470b7dac44612397cb4)

**new alerts:**

* 1 for Unused import
* 1 for Variable defined multiple times",199
github.com/capreolus-ir/capreolus,capreolus/utils/common.py,2022-01-10T00:26:23Z,"This pull request **introduces 2 alerts** when merging e9cf9a670f81c2bf784e96a0f2eee4763233cfbd into e10928f5fa87ef2ac9eaabe28f1f2dc0e142b0de - [view on LGTM.com](https://lgtm.com/projects/g/capreolus-ir/capreolus/rev/pr-2565307bea52253b22e5888e139bd77c8c090b7e)

**new alerts:**

* 1 for Unused import
* 1 for Variable defined multiple times",199
github.com/capreolus-ir/capreolus,capreolus/utils/common.py,2022-01-10T02:22:24Z,"This pull request **introduces 2 alerts** and **fixes 1** when merging 2ec75ad6dbd0b6e09d1d1ac332dac1902775b738 into e10928f5fa87ef2ac9eaabe28f1f2dc0e142b0de - [view on LGTM.com](https://lgtm.com/projects/g/capreolus-ir/capreolus/rev/pr-6d7d9d1fe9d7908d4643a97f75e09a7fb5806584)

**new alerts:**

* 1 for Unused import
* 1 for Variable defined multiple times

**fixed alerts:**

* 1 for Unused import",199
github.com/capreolus-ir/capreolus,capreolus/utils/common.py,2022-01-10T04:42:48Z,"This pull request **introduces 2 alerts** and **fixes 1** when merging c3edfe84dbeeceea17f9c7029c7a73058f7773b8 into e10928f5fa87ef2ac9eaabe28f1f2dc0e142b0de - [view on LGTM.com](https://lgtm.com/projects/g/capreolus-ir/capreolus/rev/pr-bf58550a16256a89431594dc5b3cea036603545b)

**new alerts:**

* 1 for Unused import
* 1 for Variable defined multiple times

**fixed alerts:**

* 1 for Unused import",199
github.com/capreolus-ir/capreolus,capreolus/utils/common.py,2022-01-10T17:43:31Z,"the PR looks good to me now. have run the LCE with nneg=4 and 7 at commit `bac04a0`, got score MRR@10 0.397 and 0.405 respectively. Running on the latest commit now.",199
github.com/capreolus-ir/capreolus,capreolus/utils/common.py,2022-01-10T18:11:03Z,"This pull request **introduces 2 alerts** and **fixes 1** when merging d068d012a5615cf4bea6f02ca0004fc562c898e8 into e10928f5fa87ef2ac9eaabe28f1f2dc0e142b0de - [view on LGTM.com](https://lgtm.com/projects/g/capreolus-ir/capreolus/rev/pr-04f3c5de184f3a2bc060da965e10b1d610cdabdd)

**new alerts:**

* 1 for Unused import
* 1 for Variable defined multiple times

**fixed alerts:**

* 1 for Unused import",199
github.com/capreolus-ir/capreolus,capreolus/utils/common.py,2022-01-11T17:17:03Z,"This pull request **introduces 2 alerts** and **fixes 1** when merging 319155f7899b67456392e05b4b002d16126b24b4 into e10928f5fa87ef2ac9eaabe28f1f2dc0e142b0de - [view on LGTM.com](https://lgtm.com/projects/g/capreolus-ir/capreolus/rev/pr-9783182daaccd61290a1e8e967a244ffef2da340)

**new alerts:**

* 1 for Unused import
* 1 for Variable defined multiple times

**fixed alerts:**

* 1 for Unused import",199
github.com/capreolus-ir/capreolus,capreolus/utils/common.py,2022-01-14T07:00:13Z,"This pull request **introduces 3 alerts** and **fixes 1** when merging 1b405b763912b00540dfdea0e9fad20bb13d7913 into e10928f5fa87ef2ac9eaabe28f1f2dc0e142b0de - [view on LGTM.com](https://lgtm.com/projects/g/capreolus-ir/capreolus/rev/pr-4570a04e35997696c749433374fad3606a2394cf)

**new alerts:**

* 2 for Unused import
* 1 for Variable defined multiple times

**fixed alerts:**

* 1 for Unused import",199
github.com/capreolus-ir/capreolus,capreolus/utils/common.py,2022-01-15T23:23:04Z,"This pull request **fixes 1 alert** when merging 0600a9aae5dceefe735bc214f88cdd256cbceea0 into e10928f5fa87ef2ac9eaabe28f1f2dc0e142b0de - [view on LGTM.com](https://lgtm.com/projects/g/capreolus-ir/capreolus/rev/pr-610e121dc3b16fc99e6d939a250d6a335d7a7f60)

**fixed alerts:**

* 1 for Unused import",199
