github_url,file_path,signature,static_match
github.com/jialuli-luka/PanoGen,Stable-Diffusion/diffusers/tests/pipelines/stable_diffusion_2/test_stable_diffusion_attend_and_excite.py,diffusers.StableDiffusionAttendAndExcitePipeline.from_pretrained,CompVis/stable-diffusion-v1-4
github.com/drboog/ProFusion,diffusers/tests/test_modeling_common.py,diffusers.models.UNet2DConditionModel.from_pretrained;diffusers.models.UNet2DConditionModel.from_pretrained;diffusers.models.UNet2DConditionModel.from_pretrained,hf-internal-testing/stable-diffusion-broken;hf-internal-testing/tiny-stable-diffusion-torch;hf-internal-testing/tiny-stable-diffusion-torch
github.com/camenduru/train-text-to-image-tpu-tutorial,train_text_to_image_flax.py,diffusers.FlaxAutoencoderKL.from_pretrained;diffusers.FlaxUNet2DConditionModel.from_pretrained;diffusers.pipelines.stable_diffusion.FlaxStableDiffusionSafetyChecker.from_pretrained,CompVis/stable-diffusion-safety-checker
github.com/basetenlabs/truss,examples/controlnet-scribble/model/model.py,diffusers.ControlNetModel.from_pretrained;diffusers.StableDiffusionControlNetPipeline.from_pretrained,runwayml/stable-diffusion-v1-5
github.com/jialuli-luka/PanoGen,Stable-Diffusion/diffusers/tests/models/test_models_vq.py,diffusers.VQModel.from_pretrained;diffusers.VQModel.from_pretrained,fusing/vqgan-dummy;fusing/vqgan-dummy
github.com/drboog/ProFusion,diffusers/tests/pipelines/unclip/test_unclip.py,diffusers.UnCLIPPipeline.from_pretrained;diffusers.UnCLIPPipeline.from_pretrained;diffusers.UnCLIPPipeline.from_pretrained,kakaobrain/karlo-v1-alpha;kakaobrain/karlo-v1-alpha;kakaobrain/karlo-v1-alpha
github.com/huggingface/diffusers,tests/models/test_attention_processor.py,diffusers.DiffusionPipeline.from_pretrained;diffusers.DiffusionPipeline.from_pretrained;diffusers.DiffusionPipeline.from_pretrained,hf-internal-testing/tiny-stable-diffusion-pipe;hf-internal-testing/tiny-stable-diffusion-pipe
github.com/IBM/BadDiffusion,diffusers/tests/test_models_vae.py,diffusers.AutoencoderKL.from_pretrained;diffusers.AutoencoderKL.from_pretrained,fusing/autoencoder-kl-dummy;fusing/autoencoder-kl-dummy
github.com/WGS-note/finetune_stable_diffusion,diffusers/tests/pipelines/unclip/test_unclip.py,diffusers.UnCLIPPipeline.from_pretrained;diffusers.UnCLIPPipeline.from_pretrained;diffusers.UnCLIPPipeline.from_pretrained,kakaobrain/karlo-v1-alpha;kakaobrain/karlo-v1-alpha;kakaobrain/karlo-v1-alpha
github.com/MerijnvanEijk/stbl-diffusion-gui-onnx,save_onnx.py,diffusers.StableDiffusionPipeline.from_pretrained,CompVis/stable-diffusion-v1-4
