github_url,file_path,signature,static_match
github.com/parkchamchi/DepthViewer,DEPTH/depthpy/midas/backbones/swin2.py,timm.create_model;timm.create_model;timm.create_model,timm/swinv2_tiny_window16_256.ms_in1k
github.com/lmb-freiburg/cv-exercises,solution07/code/dpt/vit.py,timm.create_model;timm.create_model;timm.create_model;timm.create_model;timm.create_model,timm/vit_large_patch16_384.augreg_in21k_ft_in1k;timm/vit_base_patch16_384.augreg_in21k_ft_in1k
github.com/SHI-Labs/Convolutional-MLPs,src/visualization/visualize.py,timm.models.create_model;timm.models.create_model,timm/mixer_b16_224.goog_in21k_ft_in1k
github.com/JXH-2020/yolov5_deepsort_age_gender_counting,Models.py,timm.create_model,timm/resnet50.a1_in1k
github.com/GitGyun/visual_token_matching,model/dpt/vit.py,timm.create_model;timm.create_model;timm.create_model,timm/vit_large_patch16_384.augreg_in21k_ft_in1k;timm/vit_base_patch16_384.augreg_in21k_ft_in1k;timm/vit_base_patch16_224.augreg2_in21k_ft_in1k
github.com/hmorimitsu/ptlflow,ptlflow/models/flowformer/encoders.py,timm.create_model;timm.create_model,timm/twins_svt_large.in1k
github.com/devsapp/fc-stable-diffusion-plus,src/code/sd-resource/extensions/sd-webui-deforum/scripts/deforum_helpers/src/midas/backbones/vit.py,timm.create_model;timm.create_model;timm.create_model,timm/vit_large_patch16_384.augreg_in21k_ft_in1k;timm/vit_base_patch16_384.augreg_in21k_ft_in1k
github.com/IIGROUP/MANIQA,models/maniqa.py,timm.create_model,timm/vit_base_patch8_224.augreg2_in21k_ft_in1k
github.com/Adapter-Hub/adapter-transformers,src/transformers/models/levit/convert_levit_timm_to_pytorch.py,timm.create_model;timm.create_model;timm.create_model;timm.create_model;timm.create_model,timm/levit_128s.fb_dist_in1k;timm/levit_128.fb_dist_in1k;timm/levit_192.fb_dist_in1k;timm/levit_256.fb_dist_in1k;timm/levit_384.fb_dist_in1k
github.com/yuniw18/Joint_360depth,inference/DPT/dpt/vit.py,timm.create_model;timm.create_model;timm.create_model;timm.create_model;timm.create_model,timm/vit_large_patch16_384.augreg_in21k_ft_in1k;timm/vit_base_patch16_384.augreg_in21k_ft_in1k
github.com/rodrigobaron/quick-deploy,examples/torch_timm/timm_resnet18_download.py,timm.create_model,timm/resnet18.a1_in1k
github.com/srvCodes/continual_learning_with_vit,src/test.py,timm.create_model,timm/vit_tiny_patch16_224.augreg_in21k_ft_in1k
github.com/padeler/PE-former,models/transformer_vit.py,timm.models.create_model;timm.models.create_model,timm/resnet50.a1_in1k
github.com/Luckydog-lhy/Tensorrt_Mask2Former,Torch-TensorRT-universe/tests/modules/hub.py,timm.create_model;timm.create_model,timm/efficientnet_b0.ra_in1k;timm/vit_base_patch16_224.augreg2_in21k_ft_in1k
github.com/Mostafa-EHD/Diabetic_Retinopathy_OCTA,Task2&3/5-fold_cross-validation_training/Task3_efficientnet_b2/fold3.py,timm.create_model;timm.create_model,timm/efficientnet_b2.ra_in1k;timm/efficientnet_b2.ra_in1k
github.com/lllyasviel/ControlNet-v1-1-nightly,ldm/modules/midas/midas/vit.py,timm.create_model;timm.create_model;timm.create_model;timm.create_model;timm.create_model,timm/vit_large_patch16_384.augreg_in21k_ft_in1k;timm/vit_base_patch16_384.augreg_in21k_ft_in1k
github.com/AutoVision-cloud/SSL-ViT-lowlabel-highdata,ssl-vit-retrieval/architectures/vits.py,timm.create_model,timm/vit_small_patch16_224.augreg_in21k_ft_in1k
github.com/ML4SCI/DeepLense,Updating_the_DeepLense_Pipeline__Saranga_K_Mahanta/Classification/Model_II/model.py,timm.create_model,timm/efficientnet_b1.ft_in1k
github.com/MIDS-scaling-up/v2,week06/demo.py,timm.create_model,timm/mixnet_l.ft_in1k
github.com/isaaccorley/resize-is-all-you-need,src/models.py,timm.create_model;timm.create_model;timm.create_model;timm.create_model,timm/resnet50.a1_in1k;timm/resnet50.a1_in1k
github.com/ActiveVisionLab/nope-nerf,DPT/dpt/vit.py,timm.create_model;timm.create_model;timm.create_model;timm.create_model;timm.create_model,timm/vit_large_patch16_384.augreg_in21k_ft_in1k;timm/vit_base_patch16_384.augreg_in21k_ft_in1k
github.com/zyddnys/sd_animation_optical_flow,ldm/modules/midas/midas/vit.py,timm.create_model;timm.create_model;timm.create_model;timm.create_model;timm.create_model,timm/vit_large_patch16_384.augreg_in21k_ft_in1k;timm/vit_base_patch16_384.augreg_in21k_ft_in1k
github.com/LucaCorvitto/RealFaces_w_StableDiffusion,binary_classifiers.py,timm.create_model;timm.create_model;timm.create_model;timm.create_model,timm/resnet50.a1_in1k;timm/mobilenetv2_100.ra_in1k;timm/vit_base_patch16_224.augreg2_in21k_ft_in1k
github.com/elicassion/3DTRL,model/vit.py,timm.create_model,timm/vit_tiny_patch16_224.augreg_in21k_ft_in1k
github.com/abhishekkrthakur/tez,examples/image/flower_inference.py,timm.create_model,timm/resnet18.a1_in1k
github.com/rossjillian/cog-controlnet-11,annotator/zoe/zoedepth/models/base_models/midas_repo/midas/backbones/beit.py,timm.create_model;timm.create_model;timm.create_model,timm/beit_large_patch16_512.in22k_ft_in22k_in1k;timm/beit_large_patch16_384.in22k_ft_in22k_in1k;timm/beit_base_patch16_384.in22k_ft_in22k_in1k
github.com/thu-ml/ares,pytorch_ares/test/test_fgsm.py,timm.create_model,timm/resnet50.a1_in1k
github.com/Adonis-galaxy/DepthCLIP,DepthCLIP_code/dpt/vit.py,timm.create_model;timm.create_model;timm.create_model;timm.create_model;timm.create_model,timm/vit_large_patch16_384.augreg_in21k_ft_in1k;timm/vit_base_patch16_384.augreg_in21k_ft_in1k
github.com/mamonraab/Data-efficient-video-transformer,menovideo/menovideo.py,timm.create_model,timm/vgg19_bn.tv_in1k
github.com/asromahin/fline,examples/kaggle/gwd_box_verify.py,timm.create_model,timm/efficientnet_b0.ra_in1k
github.com/IIT-PAVIS/Positional_Diffusion,puzzle_diff/model/backbones/efficient_gat_new.py,timm.create_model,timm/efficientnet_b0.ra_in1k
github.com/rlawjdghek/A-fall-detection-model-in-diverse-conditions,main.py,timm.create_model,timm/rexnet_200.nav_in1k
github.com/164140757/SCM,lib/models/deit.py,timm.models.create_model,timm/vit_small_patch16_224.augreg_in21k_ft_in1k
github.com/hwk0702/keras2torch,Adversarial_Attack/Projected_Gradient_Descent/main.py,timm.create_model,timm/resnet50.a1_in1k
github.com/dwardzheng/MFFN_COD,methods/classic_methods/HDFNet.py,timm.create_model;timm.create_model,timm/resnet50.a1_in1k;timm/resnet50.a1_in1k
github.com/saba99/SuperResolution_Animation_Video,scripts/metrics/MANIQA/models/model_attentionIQA2.py,timm.create_model,timm/vit_base_patch8_224.augreg2_in21k_ft_in1k
github.com/biasvariancelabs/aitlas,aitlas/models/vision_transformer.py,timm.create_model;timm.create_model;timm.create_model;timm.create_model,timm/vit_base_patch16_224.augreg2_in21k_ft_in1k;timm/vit_base_patch16_224.augreg2_in21k_ft_in1k
github.com/somepago/dbViz,models/ViT_pt_interpolate.py,timm.create_model,timm/vit_small_patch16_224.augreg_in21k_ft_in1k
github.com/sgvaze/osr_closed_set_all_you_need,models/model_utils.py,timm.create_model;timm.create_model,timm/resnet50.a1_in1k
github.com/LucaCorvitto/RealFaces_w_StableDiffusion,5_classes_classifiers.py,timm.create_model;timm.create_model;timm.create_model;timm.create_model,timm/resnet50.a1_in1k;timm/mobilenetv2_100.ra_in1k;timm/vit_base_patch16_224.augreg2_in21k_ft_in1k
github.com/ZhangYuanhan-AI/OmniBenchmark,linear_probe/models/timm_inceptionv4.py,timm.create_model,timm/inception_v4.tf_in1k
github.com/aartykov/Latent-Composer-pytorch,annotators/midas/midas/backbones/levit.py,timm.create_model,timm/levit_384.fb_dist_in1k
github.com/Equationliu/GA-Attack,utils/architectures.py,timm.create_model;timm.create_model;timm.create_model;timm.create_model;timm.create_model;timm.create_model;timm.create_model;timm.create_model;timm.create_model;timm.create_model;timm.create_model;timm.create_model,timm/vit_small_patch16_224.augreg_in21k_ft_in1k;timm/vit_base_patch16_224.augreg2_in21k_ft_in1k;timm/swin_base_patch4_window7_224.ms_in22k_ft_in1k;timm/inception_resnet_v2.tf_in1k;timm/swin_large_patch4_window12_384.ms_in22k_ft_in1k
github.com/tlpss/keypoint-detection,keypoint_detection/models/backbones/mobilenetv3.py,timm.create_model,timm/mobilenetv3_large_100.ra_in1k
github.com/IndoorAdventurer/ViTTransferLearningForArtClassification,rijks_torch/learning_problems/efficientnetv2.py,timm.create_model;timm.create_model,timm/efficientnetv2_rw_m.agc_in1k;timm/efficientnetv2_rw_t.ra2_in1k
github.com/satya15july/depth_estimation_stereo_images,networks/FastACVNet/models/Fast_ACV_plus.py,timm.create_model,timm/mobilenetv2_100.ra_in1k
github.com/gaochen315/DynamicNeRF,utils/midas/vit.py,timm.create_model;timm.create_model;timm.create_model;timm.create_model;timm.create_model,timm/vit_large_patch16_384.augreg_in21k_ft_in1k;timm/vit_base_patch16_384.augreg_in21k_ft_in1k
github.com/camenduru/Rerender-hf,ControlNet/ldm/modules/midas/midas/vit.py,timm.create_model;timm.create_model;timm.create_model;timm.create_model;timm.create_model,timm/vit_large_patch16_384.augreg_in21k_ft_in1k;timm/vit_base_patch16_384.augreg_in21k_ft_in1k
github.com/boyzwj/zface,models/vit.py,timm.create_model;timm.create_model;timm.create_model;timm.create_model;timm.create_model,timm/vit_large_patch16_384.augreg_in21k_ft_in1k;timm/vit_base_patch16_384.augreg_in21k_ft_in1k
github.com/aggelos-michael-papadopoulos/MobileViT-implementation-and-training-in-Tensorlow-and-Pytorch,Train on Pytorch/torch_inference.py,timm.create_model,timm/mobilevit_xxs.cvnets_in1k
github.com/SHEERANER/Modelzoo_centermask_pytorch,PyTorch/contrib/cv/classification/csp_resnext50-mish/pthtar2onx.py,timm.models.create_model,timm/cspresnext50.ra_in1k
github.com/hongsunjang/Pipe-BD,NAS/arch_search.py,timm.models.create_model,timm/mobilenetv2_100.ra_in1k
github.com/wehrwein-research/border-legibility,MODEL/GMM/deep.py,timm.create_model,timm/resnext101_32x8d.tv_in1k
github.com/YanNeu/spurious_imagenet,utils/models/model_factory_224.py,timm.models.factory.create_model;timm.models.factory.create_model;timm.models.factory.create_model;timm.models.factory.create_model;timm.models.factory.create_model,timm/resnet50.a1_in1k;timm/tresnet_m.miil_in21k_ft_in1k;timm/seresnext26t_32x4d.bt_in1k;timm/seresnext50_32x4d.racm_in1k
github.com/nianticlabs/implicit-depth,modules/networks.py,timm.create_model,timm/mnasnet_100.rmsp_in1k
github.com/ZhangYuanhan-AI/OmniBenchmark,linear_probe/models/timm_vit_modified.py,timm.create_model,timm/vit_base_patch16_224.augreg2_in21k_ft_in1k
