repo_url,filepath,commit_date,message
github.com/MaartenGr/BERTopic,bertopic/_bertopic.py,2024-02-28T19:41:36Z,Spelling corrections (#1801)
github.com/MaartenGr/BERTopic,bertopic/_bertopic.py,2024-02-26T07:16:48Z,Fix #1688 (#1762)
github.com/MaartenGr/BERTopic,bertopic/_bertopic.py,2024-02-14T09:31:53Z,Remove spurious warning about missing embedding model. (#1774)
github.com/MaartenGr/BERTopic,bertopic/_bertopic.py,2024-02-14T09:16:41Z,Fix #1797 and #1798 (#1804)
github.com/MaartenGr/BERTopic,bertopic/_bertopic.py,2024-02-08T14:25:19Z,remove RuntimeWarning from logger.warning() (#1740)
github.com/MaartenGr/BERTopic,bertopic/_bertopic.py,2024-01-20T10:35:46Z,Add optional datamapplot visualization (#1750)
github.com/MaartenGr/BERTopic,bertopic/_bertopic.py,2024-01-03T10:00:35Z,Many docstring fixes (#1719)
github.com/MaartenGr/BERTopic,bertopic/_bertopic.py,2024-01-03T08:41:25Z,Remove unused `cluster_df` variable (#1701)
github.com/MaartenGr/BERTopic,bertopic/_bertopic.py,2023-11-27T07:38:09Z,"v0.16 (#1572)

* Zeroshot Topic Modeling
* Seed (domain-specific) words
* More LLM documentation, including Zephyr example
* Add support for Cohere's Embed v3
* Added llama.cpp
* Added HUGE changelog and up version for upcoming release"
github.com/MaartenGr/BERTopic,bertopic/_bertopic.py,2023-11-20T07:12:33Z,Correct TopicMapper doc example (#1637)
github.com/MaartenGr/BERTopic,bertopic/_bertopic.py,2023-11-01T07:26:25Z,Fix several typos (#1590)
github.com/MaartenGr/BERTopic,bertopic/_bertopic.py,2023-09-21T12:47:03Z,Add `.merge_models` to merge pre-trained BERTopic models (#1516)
github.com/MaartenGr/BERTopic,bertopic/_bertopic.py,2023-09-05T07:26:41Z,"Fix TypeError on reduce_outliers ""probabilities"" (#1501)"
github.com/MaartenGr/BERTopic,bertopic/_bertopic.py,2023-08-30T09:16:41Z,Fix IndexError when all outliers are removed by reduce_outliers() (#1466)
github.com/MaartenGr/BERTopic,bertopic/_bertopic.py,2023-08-30T08:18:45Z,Fix #1487
github.com/MaartenGr/BERTopic,bertopic/_bertopic.py,2023-08-07T12:20:35Z,Fixed typing issue with treshold parameter in reduce_outliers. (#1380)
github.com/MaartenGr/BERTopic,bertopic/_bertopic.py,2023-07-11T08:01:44Z,Fix guided topic modeling in cuML's UMAP (#1326)
github.com/MaartenGr/BERTopic,bertopic/_bertopic.py,2023-06-27T06:41:24Z,Fixed typing in hierarchical_topics (#1364)
github.com/MaartenGr/BERTopic,bertopic/_bertopic.py,2023-06-01T09:28:56Z,Fix several typos (#1307)
github.com/MaartenGr/BERTopic,bertopic/_bertopic.py,2023-05-30T16:39:22Z,"v0.15 (#1291)

Prepare for v0.15 release by including changelog and many documentation updates."
github.com/MaartenGr/BERTopic,bertopic/_bertopic.py,2023-05-23T15:42:31Z,Default saving embedding model to True
github.com/MaartenGr/BERTopic,bertopic/_bertopic.py,2023-05-23T15:24:57Z,Fix not saving embedding model using .push_to_hf_hub
github.com/MaartenGr/BERTopic,bertopic/_bertopic.py,2023-05-20T07:17:29Z,Multimodal and Multi-Aspect Topic Modeling (#1232)
github.com/MaartenGr/BERTopic,bertopic/_bertopic.py,2023-05-04T07:15:12Z,"Efficient, faster, and safer serialization with HuggingFace (#1205)"
github.com/MaartenGr/BERTopic,bertopic/_bertopic.py,2023-04-17T18:26:52Z,Add cuML support for approximate_predict
github.com/MaartenGr/BERTopic,bertopic/_bertopic.py,2023-04-15T11:10:59Z,Fix hierarchy visualization and handle any form of distance matrix (#1173)
