repo_url,filepath,commit_date,message
github.com/google-research/google-research,dpok/train_online_pg.py,2024-01-23T00:22:24Z,"Open-sourcing the code for ""CLIP as RNN: Segment Countless Visual Concepts without Training Endeavor"".
https://arxiv.org/abs/2312.07661

PiperOrigin-RevId: 600601383"
github.com/google-research/google-research,dpok/train_online_pg.py,2023-10-13T21:36:54Z,"DPOK open-source release.

PiperOrigin-RevId: 573321168"
github.com/huggingface/diffusers,examples/amused/train_amused.py,2024-02-08T18:19:31Z,"change to 2024 in the license (#6902)

change to 2024"
github.com/huggingface/diffusers,examples/amused/train_amused.py,2023-12-21T19:40:55Z,"open muse (#5437)

amused

rename

Update docs/source/en/api/pipelines/amused.md

Co-authored-by: Patrick von Platen <patrick.v.platen@gmail.com>

AdaLayerNormContinuous default values

custom micro conditioning

micro conditioning docs

put lookup from codebook in constructor

fix conversion script

remove manual fused flash attn kernel

add training script

temp remove training script

add dummy gradient checkpointing func

clarify temperatures is an instance variable by setting it

remove additional SkipFF block args

hardcode norm args

rename tests folder

fix paths and samples

fix tests

add training script

training readme

lora saving and loading

non-lora saving/loading

some readme fixes

guards

Update docs/source/en/api/pipelines/amused.md

Co-authored-by: Suraj Patil <surajp815@gmail.com>

Update examples/amused/README.md

Co-authored-by: Suraj Patil <surajp815@gmail.com>

Update examples/amused/train_amused.py

Co-authored-by: Suraj Patil <surajp815@gmail.com>

vae upcasting

add fp16 integration tests

use tuple for micro cond

copyrights

remove casts

delegate to torch.nn.LayerNorm

move temperature to pipeline call

upsampling/downsampling changes"
github.com/microsoft/unilm,textdiffuser/train.py,2023-06-08T10:30:17Z,Create train.py
github.com/microsoft/unilm,textdiffuser/evaluate.py,2023-06-22T03:07:36Z,Create evaluate.py
github.com/microsoft/unilm,textdiffuser/inference.py,2023-05-26T13:20:16Z,update textdiffuser
github.com/microsoft/unilm,textdiffuser/gradio_app.py,2023-06-08T15:46:41Z,Update gradio_app.py
github.com/microsoft/unilm,textdiffuser/gradio_app.py,2023-06-04T03:20:32Z,Update gradio_app.py
github.com/microsoft/unilm,textdiffuser/gradio_app.py,2023-06-02T09:15:40Z,【TextDiffuser】 upload demo
github.com/microsoft/unilm,textdiffuser/gradio_app.py,2023-06-02T06:58:17Z,Add files via upload
github.com/google-research/google-research,conceptor/one_step_reconstruction.py,2024-01-23T00:22:24Z,"Open-sourcing the code for ""CLIP as RNN: Segment Countless Visual Concepts without Training Endeavor"".
https://arxiv.org/abs/2312.07661

PiperOrigin-RevId: 600601383"
github.com/google-research/google-research,conceptor/one_step_reconstruction.py,2023-09-14T08:04:51Z,"Open source the code for the paper ""The Hidden Language of Diffusion Models""

PiperOrigin-RevId: 565290257"
github.com/huggingface/diffusers,examples/dreambooth/train_dreambooth.py,2024-02-09T17:36:38Z,"post release 0.26.2 (#6885)

* post release

* style

* Empty-Commit

---------

Co-authored-by: Patrick von Platen <patrick.v.platen@gmail.com>"
github.com/huggingface/diffusers,examples/dreambooth/train_dreambooth.py,2024-02-09T04:38:27Z,correct hub_token exposition behaviour (thanks to @bghira). (#6918)
github.com/huggingface/diffusers,examples/dreambooth/train_dreambooth.py,2024-02-08T18:19:31Z,"change to 2024 in the license (#6902)

change to 2024"
github.com/huggingface/diffusers,examples/dreambooth/train_dreambooth.py,2024-02-08T04:07:56Z,fix: keyword argument mismatch (#6895)
github.com/huggingface/diffusers,examples/dreambooth/train_dreambooth.py,2024-02-07T09:37:11Z,"[Model Card] standardize dreambooth model card  (#6729)

* feat: standarize model card creation for dreambooth training.

* correct 'inference

* remove comments.

* take component out of kwargs

* style

* add: card template to have a leaner description.

* widget support.

* propagate changes to train_dreambooth_lora

* propagate changes to custom diffusion

* make widget properly type-annotated"
github.com/huggingface/diffusers,examples/dreambooth/train_dreambooth.py,2024-01-12T07:20:15Z,"Make Dreambooth SD Training Script `torch.compile` compatible (#6532)

* support compile

* make style

* move unwrap_model inside function

* change unwrap call

* run make style

* Update examples/dreambooth/train_dreambooth.py

Co-authored-by: Sayak Paul <spsayakpaul@gmail.com>

* Revert ""Update examples/dreambooth/train_dreambooth.py""

This reverts commit 70ab09732e7cfec0b19c497f823ddd1c8259dad0.

---------

Co-authored-by: Sayak Paul <spsayakpaul@gmail.com>"
github.com/huggingface/diffusers,examples/dreambooth/train_dreambooth.py,2024-01-05T10:43:27Z,"0.25.0 post release (#6358)

* post release

* style

---------

Co-authored-by: Patrick von Platen <patrick.v.platen@gmail.com>"
github.com/huggingface/diffusers,examples/dreambooth/train_dreambooth.py,2023-12-01T17:43:44Z,"Post Release: v0.24.0 (#5985)

* Post Release: v0.24.0

* post pone deprecation

* post pone deprecation

* Add model_index.json"
github.com/huggingface/diffusers,examples/dreambooth/train_dreambooth.py,2023-11-29T14:47:16Z,"Rename output_dir argument (#5916)

Fix typo in output_dir argument: ""text-inversion-model"" → ""dreambooth-model"""
github.com/huggingface/diffusers,examples/dreambooth/train_dreambooth.py,2023-11-27T05:13:20Z,"[Examples] Allow downloading variant model files (#5531)

* add variant

* add variant

* Apply suggestions from code review

* reformat

* fix: textual_inversion.py

* fix: variant in model_info

---------

Co-authored-by: sayakpaul <spsayakpaul@gmail.com>"
github.com/huggingface/diffusers,examples/dreambooth/train_dreambooth.py,2023-11-17T13:56:58Z,"Set `usedforsecurity=False` in hashlib methods (FIPS compliance) (#5790)

* Set usedforsecurity=False in hashlib methods (FIPS compliance)

* update version dependency

* bump hfh version

* bump hfh version"
github.com/huggingface/diffusers,examples/dreambooth/train_dreambooth.py,2023-11-10T11:05:44Z,"post release v0.23.0 (#5730)

* post release

* fix: variant test

* up

* fix: test"
github.com/huggingface/diffusers,examples/dreambooth/train_dreambooth.py,2023-11-06T15:23:38Z,"post release (v0.22.0) (#5658)

post release"
github.com/huggingface/diffusers,examples/dreambooth/train_dreambooth.py,2023-10-26T20:35:05Z,Update train_dreambooth.py - fix typos (#5539)
github.com/huggingface/diffusers,examples/dreambooth/train_dreambooth.py,2023-10-16T13:23:37Z,"chore: fix typos (#5386)

* chore: fix typos

* Update src/diffusers/pipelines/shap_e/renderer.py

Co-authored-by: psychedelicious <4822129+psychedelicious@users.noreply.github.com>

---------

Co-authored-by: psychedelicious <4822129+psychedelicious@users.noreply.github.com>"
github.com/huggingface/diffusers,examples/dreambooth/train_dreambooth.py,2023-10-02T16:29:52Z,"fix: how print training resume logs. (#5117)

* fix: how print training resume logs.

* propagate changes to text-to-image scripts.

* propagate changes to instructpix2pix.

* propagate changes to dreambooth

* propagate changes to custom diffusion and instructpix2pix

* propagate changes to kandinsky

* propagate changes to textual inv.

* debug

* fix: checkpointing.

* debug

* debug

* debug

* back to the square

* debug

* debug

* change condition order.

* debug

* debug

* debug

* debug

* revert to original

* clean

---------

Co-authored-by: Patrick von Platen <patrick.v.platen@gmail.com>"
github.com/huggingface/diffusers,examples/dreambooth/train_dreambooth.py,2023-09-27T16:12:20Z,"[Examples] add `compute_snr()` to training utils. (#5188)

add compute_snr() to training utils."
github.com/huggingface/diffusers,examples/dreambooth/train_dreambooth.py,2023-09-21T21:53:06Z,"Min-SNR gamma support for Dreambooth training (#5107)

* min-SNR gamma for Dreambooth training

* Align the mse_loss_weights style with SDXL training example

---------

Co-authored-by: bghira <bghira@users.github.com>
Co-authored-by: Sayak Paul <spsayakpaul@gmail.com>"
github.com/huggingface/diffusers,examples/dreambooth/train_dreambooth.py,2023-09-14T16:28:57Z,"[Release 0.21] Bump version (#5018)

* [Release 0.21] Bump version

* fix & remove

* fix more

* fix all, upload"
github.com/huggingface/diffusers,examples/dreambooth/train_dreambooth.py,2023-09-08T17:30:06Z,guard save model hooks to only execute on main process (#4929)
github.com/huggingface/diffusers,examples/dreambooth/train_dreambooth.py,2023-08-23T20:18:17Z,"change validation scheduler for train_dreambooth.py when training IF (#4333)

* dreambooth training

* train_dreambooth validation scheduler

* set a particular scheduler via a string

* modify readme after setting a particular scheduler via a string

* modify readme after setting a particular scheduler

* use importlib to set a particular scheduler

* import with correct sort"
github.com/huggingface/diffusers,examples/dreambooth/train_dreambooth.py,2023-08-17T08:46:25Z,make post-release (#4650)
github.com/huggingface/diffusers,examples/dreambooth/train_dreambooth.py,2023-08-07T02:19:39Z,"Log global_step instead of epoch to tensorboard (#4493)

Co-authored-by: mrlzla <noname@noname.com>"
github.com/huggingface/diffusers,examples/dreambooth/train_dreambooth.py,2023-08-01T19:00:05Z,train dreambooth fix pre encode class prompt (#4395)
github.com/huggingface/diffusers,examples/dreambooth/train_dreambooth.py,2023-07-27T16:58:52Z,fix validation option for dreambooth training example (#4317)
github.com/huggingface/diffusers,examples/dreambooth/train_dreambooth.py,2023-07-26T21:06:18Z,"0.20.0dev0 (#4299)

* 0.20.0dev0

* make style"
github.com/huggingface/diffusers,examples/dreambooth/train_dreambooth.py,2023-07-25T04:10:37Z,do not pass list to accelerator.init_trackers (#4248)
github.com/huggingface/diffusers,examples/dreambooth/train_dreambooth.py,2023-07-13T12:20:25Z,"Multiply lr scheduler steps by `num_processes`. (#3983)

* Multiply lr scheduler steps by `num_processes`.

* Stop multiplying steps by gradient accumulation."
github.com/huggingface/diffusers,examples/dreambooth/train_dreambooth.py,2023-07-11T20:49:12Z,move to 0.19.0dev (#4048)
github.com/huggingface/diffusers,examples/dreambooth/train_dreambooth.py,2023-06-15T22:38:54Z,"manual check for checkpoints_total_limit instead of using accelerate (#3681)

* manual check for checkpoints_total_limit instead of using accelerate

* remove controlnet_conditioning_embedding_out_channels"
github.com/huggingface/diffusers,examples/dreambooth/train_dreambooth.py,2023-06-15T13:07:51Z,"Fix some bad comment in training scripts (#3798)

* relax tolerance slightly

* correct incorrect naming"
github.com/huggingface/diffusers,examples/dreambooth/train_dreambooth.py,2023-06-08T16:08:49Z,"Post 0.17.0 release (#3721)

* Post release

* Post release"
github.com/huggingface/diffusers,examples/dreambooth/train_dreambooth.py,2023-06-08T14:44:22Z,"Apply deprecations from Accelerate (#3714)

Apply deprecations"
github.com/huggingface/diffusers,examples/dreambooth/train_dreambooth.py,2023-06-05T10:03:11Z,"Correct multi gpu dreambooth (#3673)

Correct multi gpu"
github.com/huggingface/diffusers,examples/dreambooth/train_dreambooth.py,2023-06-05T09:32:16Z,dreambooth upscaling fix added latents (#3659)
github.com/huggingface/diffusers,examples/dreambooth/train_dreambooth.py,2023-05-31T16:39:31Z,"Full Dreambooth IF stage II upscaling (#3561)

* update dreambooth lora to work with IF stage II

* Update dreambooth script for IF stage II upscaler"
