repo_url,filepath,commit_date,message
github.com/stanfordnlp/stanza,demo/semgrex.py,2022-08-03T08:43:40Z,Rough outline of a semgrex interface demo program
github.com/stanfordnlp/stanza,demo/pipeline_demo.py,2020-08-11T19:15:55Z,"Merge pull request #422 from stanfordnlp/master

Back-merge documentation changes from master to dev"
github.com/stanfordnlp/stanza,demo/pipeline_demo.py,2020-06-22T23:32:20Z,Rename stanza.resource to stanza.resources; rename resources.py to common.py
github.com/stanfordnlp/stanza,demo/pipeline_demo.py,2020-06-22T22:49:38Z,Move all resources related scripts to stanza/resource
github.com/stanfordnlp/stanza,demo/pipeline_demo.py,2020-06-11T06:04:53Z,Fix demo script
github.com/stanfordnlp/stanza,demo/pipeline_demo.py,2020-03-06T07:45:58Z,renaming stanfordnlp to stanza!!
github.com/stanfordnlp/stanza,demo/pipeline_demo.py,2019-02-19T08:18:42Z,Use sys.exit in place of exit
github.com/stanfordnlp/stanza,demo/pipeline_demo.py,2019-01-31T02:24:01Z,Revert temporary fix for download logic
github.com/stanfordnlp/stanza,demo/pipeline_demo.py,2019-01-31T02:18:05Z,Fix download logic; Fix help message in demo script
github.com/stanfordnlp/stanza,demo/pipeline_demo.py,2019-01-31T01:53:22Z,Quick fix for demo script
github.com/stanfordnlp/stanza,demo/pipeline_demo.py,2019-01-26T05:33:04Z,Separate the classes for Tokens and syntactic Words
github.com/stanfordnlp/stanza,demo/pipeline_demo.py,2019-01-25T09:25:55Z,Undo changes to use_gpu argument
github.com/stanfordnlp/stanza,demo/pipeline_demo.py,2019-01-25T09:16:37Z,Modify the way devices are specified in pipeline
github.com/stanfordnlp/stanza,demo/pipeline_demo.py,2019-01-25T00:25:14Z,Swap French demo input with one that has MWT in the first sentence
github.com/stanfordnlp/stanza,demo/pipeline_demo.py,2019-01-24T22:22:28Z,Accommodate Vietnamese in the pipeline tokenizer processor; Add a Vietnamese example to demo script
github.com/stanfordnlp/stanza,demo/pipeline_demo.py,2019-01-23T08:51:06Z,Demo script goes multi-lingual; don't confirm overwrite by default (by do it in the demo script)
github.com/stanfordnlp/stanza,demo/pipeline_demo.py,2019-01-23T08:51:06Z,Change demo to match logic of new download function: existence of models is checked in download() now; Add easy toggle for other demo languages
github.com/stanfordnlp/stanza,demo/pipeline_demo.py,2019-01-22T23:48:13Z,Modernizing and reusing build_default_config; Path fix in demo pipeline construction
github.com/stanfordnlp/stanza,demo/pipeline_demo.py,2019-01-22T23:31:32Z,Modernizing the demo script; make the download interface more user-friendly
github.com/stanfordnlp/stanza,demo/pipeline_demo.py,2019-01-20T08:10:41Z,update and simplify basic demo
github.com/stanfordnlp/stanza,demo/pipeline_demo.py,2019-01-11T23:37:09Z,add demo
github.com/stanfordnlp/stanza,stanza/server/semgrex.py,2023-10-17T01:22:41Z,"Add an Enhanced graph option to the python semgrex interface

Adds a method for adding a networkx graph as a DependencyGraph proto
Includes a test that the result on a simple graph is as expected

We then read in enhanced graphs, then send that graph to the CoreNLP semgrex rather than the basic dependencies

A couple specific changes:

When adding a token to a semgrex protobuf, add index for regular words, add index and emptyIndex for empty words
Attachs the tokens from a sentence to the networkx graph when building the DependencyGraph proto from a Sentence

Currently hard to add a test for this, since it requires some extensive CoreNLP changes"
github.com/stanfordnlp/stanza,stanza/server/semgrex.py,2023-04-09T02:36:57Z,Add a flag to semgrex to read patterns from a file instead of command line
github.com/stanfordnlp/stanza,stanza/server/semgrex.py,2023-04-07T01:14:49Z,"Make echoing the input an option, not the default, in the Semgrex command line tool"
github.com/stanfordnlp/stanza,stanza/server/semgrex.py,2023-03-14T05:27:12Z,"Instead of dumping out a completely inscrutable semgrex result, add comments to the doc to explain where the sentences matched"
github.com/stanfordnlp/stanza,stanza/server/semgrex.py,2023-03-14T04:38:31Z,"Add flags to semgrex.py to load a conllu file and execute the semgrex on it, possibly changing the semgrex used.  Add a sample file for demoing the semgrex"
